file_name,full_path,size_kb,status
type-people_also_ask_rg1_ra9_metadata.md,parsed_content_markdowns/Barangaroo/people_also_ask/type-people_also_ask_rg1_ra9_metadata.md,0.26,⚠️ LOW_CONTENT
type-organic_rg10_ra14_yelp.md,parsed_content_markdowns/Barangaroo/organic/type-organic_rg10_ra14_yelp.md,1.0,⚠️ LOW_CONTENT
type-organic_rg20_ra24_instagram.md,parsed_content_markdowns/Barangaroo/organic/type-organic_rg20_ra24_instagram.md,0.93,⚠️ LOW_CONTENT
type-organic_rg17_ra21_topglaze.md,parsed_content_markdowns/Barangaroo/organic/type-organic_rg17_ra21_topglaze.md,0.96,⚠️ LOW_CONTENT
type-organic_rg14_ra18_localsearch.md,parsed_content_markdowns/Barangaroo/organic/type-organic_rg14_ra18_localsearch.md,1.0,⚠️ LOW_CONTENT
type-organic_rg18_ra22_monkeysroofing.md,parsed_content_markdowns/Barangaroo/organic/type-organic_rg18_ra22_monkeysroofing.md,0.9,⚠️ LOW_CONTENT
type-organic_rg16_ra20_hipages.md,parsed_content_markdowns/Barangaroo/organic/type-organic_rg16_ra20_hipages.md,0.97,⚠️ LOW_CONTENT
type-organic_rg12_ra16_facebook.md,parsed_content_markdowns/Barangaroo/organic/type-organic_rg12_ra16_facebook.md,0.91,⚠️ LOW_CONTENT
type-local_pack_rg2_ra2_sydneyroofingspecialists.md,parsed_content_markdowns/Barangaroo/local_pack/type-local_pack_rg2_ra2_sydneyroofingspecialists.md,0.95,⚠️ LOW_CONTENT
type-local_pack_rg1_ra1_nuroofing.md,parsed_content_markdowns/Barangaroo/local_pack/type-local_pack_rg1_ra1_nuroofing.md,0.9,⚠️ LOW_CONTENT
type-people_also_ask_rg1_ra14_metadata.md,parsed_content_markdowns/Artarmon/people_also_ask/type-people_also_ask_rg1_ra14_metadata.md,0.26,⚠️ LOW_CONTENT
type-organic_rg14_ra18_auscityroofing.md,parsed_content_markdowns/Artarmon/organic/type-organic_rg14_ra18_auscityroofing.md,0.95,⚠️ LOW_CONTENT
type-organic_rg12_ra16_proximityplumbing.md,parsed_content_markdowns/Artarmon/organic/type-organic_rg12_ra16_proximityplumbing.md,0.95,⚠️ LOW_CONTENT
type-organic_rg13_ra17_m.md,parsed_content_markdowns/Artarmon/organic/type-organic_rg13_ra17_m.md,0.96,⚠️ LOW_CONTENT
type-local_pack_rg2_ra2_edmondsroofingservices.md,parsed_content_markdowns/Artarmon/local_pack/type-local_pack_rg2_ra2_edmondsroofingservices.md,0.94,⚠️ LOW_CONTENT
type-people_also_search_rg1_ra13_metadata.md,parsed_content_markdowns/Annandale-(NSW)/people_also_search/type-people_also_search_rg1_ra13_metadata.md,0.3,⚠️ LOW_CONTENT
type-people_also_search_rg2_ra18_metadata.md,parsed_content_markdowns/Annandale-(NSW)/people_also_search/type-people_also_search_rg2_ra18_metadata.md,0.3,⚠️ LOW_CONTENT
type-people_also_search_rg2_ra19_metadata.md,parsed_content_markdowns/Annandale-(NSW)/people_also_search/type-people_also_search_rg2_ra19_metadata.md,0.3,⚠️ LOW_CONTENT
type-people_also_search_rg1_ra14_metadata.md,parsed_content_markdowns/Annandale-(NSW)/people_also_search/type-people_also_search_rg1_ra14_metadata.md,0.3,⚠️ LOW_CONTENT
type-people_also_ask_rg1_ra7_metadata.md,parsed_content_markdowns/Annandale-(NSW)/people_also_ask/type-people_also_ask_rg1_ra7_metadata.md,0.27,⚠️ LOW_CONTENT
type-people_also_ask_rg1_ra6_metadata.md,parsed_content_markdowns/Annandale-(NSW)/people_also_ask/type-people_also_ask_rg1_ra6_metadata.md,0.27,⚠️ LOW_CONTENT
type-organic_rg18_ra24_sydneyroofingandgutters.md,parsed_content_markdowns/Annandale-(NSW)/organic/type-organic_rg18_ra24_sydneyroofingandgutters.md,0.98,⚠️ LOW_CONTENT
type-organic_rg8_ra12_localsearch.md,parsed_content_markdowns/Annandale-(NSW)/organic/type-organic_rg8_ra12_localsearch.md,0.99,⚠️ LOW_CONTENT
type-organic_rg8_ra11_localsearch.md,parsed_content_markdowns/Annandale-(NSW)/organic/type-organic_rg8_ra11_localsearch.md,0.99,⚠️ LOW_CONTENT
type-organic_rg20_ra25_m.md,parsed_content_markdowns/Annandale-(NSW)/organic/type-organic_rg20_ra25_m.md,0.92,⚠️ LOW_CONTENT
type-organic_rg15_ra20_agraderoofing.md,parsed_content_markdowns/Annandale-(NSW)/organic/type-organic_rg15_ra20_agraderoofing.md,0.72,⚠️ LOW_CONTENT
type-organic_rg20_ra26_m.md,parsed_content_markdowns/Annandale-(NSW)/organic/type-organic_rg20_ra26_m.md,0.92,⚠️ LOW_CONTENT
type-organic_rg11_ra16_localsearch.md,parsed_content_markdowns/Annandale-(NSW)/organic/type-organic_rg11_ra16_localsearch.md,1.0,⚠️ LOW_CONTENT
type-organic_rg1_ra1_hipages.md,parsed_content_markdowns/Annandale-(NSW)/organic/type-organic_rg1_ra1_hipages.md,0.93,⚠️ LOW_CONTENT
type-organic_rg1_ra4_hipages.md,parsed_content_markdowns/Annandale-(NSW)/organic/type-organic_rg1_ra4_hipages.md,0.93,⚠️ LOW_CONTENT
type-organic_rg15_ra21_agraderoofing.md,parsed_content_markdowns/Annandale-(NSW)/organic/type-organic_rg15_ra21_agraderoofing.md,0.72,⚠️ LOW_CONTENT
type-organic_rg11_ra15_localsearch.md,parsed_content_markdowns/Annandale-(NSW)/organic/type-organic_rg11_ra15_localsearch.md,1.0,⚠️ LOW_CONTENT
type-google_reviews_rg1_ra4_metadata.md,parsed_content_markdowns/Annandale-(NSW)/google_reviews/type-google_reviews_rg1_ra4_metadata.md,0.26,⚠️ LOW_CONTENT
type-knowledge_graph_rg1_ra3_metadata.md,parsed_content_markdowns/Annandale-(NSW)/knowledge_graph/type-knowledge_graph_rg1_ra3_metadata.md,0.29,⚠️ LOW_CONTENT
type-local_pack_rg3_ra3_google.md,parsed_content_markdowns/Annandale-(NSW)/local_pack/type-local_pack_rg3_ra3_google.md,0.42,⚠️ LOW_CONTENT
type-local_pack_rg1_ra1_google.md,parsed_content_markdowns/Annandale-(NSW)/local_pack/type-local_pack_rg1_ra1_google.md,0.45,⚠️ LOW_CONTENT
type-local_pack_rg2_ra2_google.md,parsed_content_markdowns/Annandale-(NSW)/local_pack/type-local_pack_rg2_ra2_google.md,0.42,⚠️ LOW_CONTENT
type-people_also_search_rg2_ra24_metadata.md,parsed_content_markdowns/Breakfast-Point/people_also_search/type-people_also_search_rg2_ra24_metadata.md,0.3,⚠️ LOW_CONTENT
type-people_also_search_rg1_ra15_metadata.md,parsed_content_markdowns/Breakfast-Point/people_also_search/type-people_also_search_rg1_ra15_metadata.md,0.3,⚠️ LOW_CONTENT
type-people_also_ask_rg1_ra11_metadata.md,parsed_content_markdowns/Breakfast-Point/people_also_ask/type-people_also_ask_rg1_ra11_metadata.md,0.27,⚠️ LOW_CONTENT
type-organic_rg11_ra16_starofservice.md,parsed_content_markdowns/Breakfast-Point/organic/type-organic_rg11_ra16_starofservice.md,1.07,⚠️ LOW_CONTENT
type-organic_rg2_ra5_localsearch.md,parsed_content_markdowns/Breakfast-Point/organic/type-organic_rg2_ra5_localsearch.md,1.0,⚠️ LOW_CONTENT
type-organic_rg20_ra26_hipages.md,parsed_content_markdowns/Breakfast-Point/organic/type-organic_rg20_ra26_hipages.md,0.93,⚠️ LOW_CONTENT
type-local_pack_rg3_ra3_sydneylocalroofers.md,parsed_content_markdowns/Breakfast-Point/local_pack/type-local_pack_rg3_ra3_sydneylocalroofers.md,1.0,⚠️ LOW_CONTENT
type-people_also_search_rg2_ra16_metadata.md,parsed_content_markdowns/Abbotsford-(NSW)/people_also_search/type-people_also_search_rg2_ra16_metadata.md,0.3,⚠️ LOW_CONTENT
type-people_also_search_rg1_ra8_metadata.md,parsed_content_markdowns/Abbotsford-(NSW)/people_also_search/type-people_also_search_rg1_ra8_metadata.md,0.29,⚠️ LOW_CONTENT
type-people_also_ask_rg1_ra3_metadata.md,parsed_content_markdowns/Abbotsford-(NSW)/people_also_ask/type-people_also_ask_rg1_ra3_metadata.md,0.27,⚠️ LOW_CONTENT
type-organic_rg17_ra22_au.md,parsed_content_markdowns/Abbotsford-(NSW)/organic/type-organic_rg17_ra22_au.md,0.96,⚠️ LOW_CONTENT
type-organic_rg18_ra23_m.md,parsed_content_markdowns/Abbotsford-(NSW)/organic/type-organic_rg18_ra23_m.md,0.94,⚠️ LOW_CONTENT
type-organic_rg11_ra15_agraderoofing.md,parsed_content_markdowns/Abbotsford-(NSW)/organic/type-organic_rg11_ra15_agraderoofing.md,0.98,⚠️ LOW_CONTENT
type-organic_rg10_ra13_agraderoofing.md,parsed_content_markdowns/Abbotsford-(NSW)/organic/type-organic_rg10_ra13_agraderoofing.md,0.72,⚠️ LOW_CONTENT
type-organic_rg3_ra5_hipages.md,parsed_content_markdowns/Abbotsford-(NSW)/organic/type-organic_rg3_ra5_hipages.md,0.95,⚠️ LOW_CONTENT
type-ai_overview_rg1_ra1_metadata.md,parsed_content_markdowns/Abbotsford-(NSW)/ai_overview/type-ai_overview_rg1_ra1_metadata.md,0.26,⚠️ LOW_CONTENT
type-images_rg1_ra14_metadata.md,parsed_content_markdowns/Abbotsford-(NSW)/images/type-images_rg1_ra14_metadata.md,0.26,⚠️ LOW_CONTENT
type-people_also_search_rg1_ra15_metadata.md,parsed_content_markdowns/Balmain/people_also_search/type-people_also_search_rg1_ra15_metadata.md,0.29,⚠️ LOW_CONTENT
type-people_also_search_rg2_ra26_metadata.md,parsed_content_markdowns/Balmain/people_also_search/type-people_also_search_rg2_ra26_metadata.md,0.29,⚠️ LOW_CONTENT
type-people_also_ask_rg1_ra4_metadata.md,parsed_content_markdowns/Balmain/people_also_ask/type-people_also_ask_rg1_ra4_metadata.md,0.26,⚠️ LOW_CONTENT
type-organic_rg2_ra6_hipages.md,parsed_content_markdowns/Balmain/organic/type-organic_rg2_ra6_hipages.md,0.92,⚠️ LOW_CONTENT
type-organic_rg15_ra20_heritageslateroofing.md,parsed_content_markdowns/Balmain/organic/type-organic_rg15_ra20_heritageslateroofing.md,0.93,⚠️ LOW_CONTENT
type-organic_rg7_ra11_adkoroofing.md,parsed_content_markdowns/Balmain/organic/type-organic_rg7_ra11_adkoroofing.md,1.31,⚠️ LOW_CONTENT
type-organic_rg1_ra5_balmainroofrepairs.md,parsed_content_markdowns/Balmain/organic/type-organic_rg1_ra5_balmainroofrepairs.md,1.21,⚠️ LOW_CONTENT
type-local_pack_rg2_ra2_auscityroofing.md,parsed_content_markdowns/Balmain/local_pack/type-local_pack_rg2_ra2_auscityroofing.md,0.91,⚠️ LOW_CONTENT
type-local_pack_rg3_ra3_google.md,parsed_content_markdowns/Balmain/local_pack/type-local_pack_rg3_ra3_google.md,0.72,⚠️ LOW_CONTENT
type-people_also_search_rg5_ra28_metadata.md,parsed_content_markdowns/Balmain-East/people_also_search/type-people_also_search_rg5_ra28_metadata.md,0.29,⚠️ LOW_CONTENT
type-people_also_search_rg4_ra18_metadata.md,parsed_content_markdowns/Balmain-East/people_also_search/type-people_also_search_rg4_ra18_metadata.md,0.29,⚠️ LOW_CONTENT
type-people_also_search_rg1_ra5_metadata.md,parsed_content_markdowns/Balmain-East/people_also_search/type-people_also_search_rg1_ra5_metadata.md,0.3,⚠️ LOW_CONTENT
type-people_also_search_rg2_ra11_metadata.md,parsed_content_markdowns/Balmain-East/people_also_search/type-people_also_search_rg2_ra11_metadata.md,0.29,⚠️ LOW_CONTENT
type-people_also_search_rg3_ra16_metadata.md,parsed_content_markdowns/Balmain-East/people_also_search/type-people_also_search_rg3_ra16_metadata.md,0.29,⚠️ LOW_CONTENT
type-organic_rg13_ra20_hipages.md,parsed_content_markdowns/Balmain-East/organic/type-organic_rg13_ra20_hipages.md,0.93,⚠️ LOW_CONTENT
type-organic_rg20_ra27_advancedroofrestoration.md,parsed_content_markdowns/Balmain-East/organic/type-organic_rg20_ra27_advancedroofrestoration.md,1.06,⚠️ LOW_CONTENT
type-local_pack_rg1_ra1_google.md,parsed_content_markdowns/Balmain-East/local_pack/type-local_pack_rg1_ra1_google.md,0.73,⚠️ LOW_CONTENT
type-local_pack_rg2_ra2_edmondsroofingservices.md,parsed_content_markdowns/Balmain-East/local_pack/type-local_pack_rg2_ra2_edmondsroofingservices.md,0.94,⚠️ LOW_CONTENT
type-people_also_ask_rg1_ra7_metadata.md,parsed_content_markdowns/Burwood-(NSW)/people_also_ask/type-people_also_ask_rg1_ra7_metadata.md,0.26,⚠️ LOW_CONTENT
type-organic_rg14_ra18_aabacusroofing.md,parsed_content_markdowns/Burwood-(NSW)/organic/type-organic_rg14_ra18_aabacusroofing.md,0.96,⚠️ LOW_CONTENT
type-organic_rg5_ra9_agraderoofing.md,parsed_content_markdowns/Burwood-(NSW)/organic/type-organic_rg5_ra9_agraderoofing.md,0.71,⚠️ LOW_CONTENT
type-organic_rg2_ra5_hipages.md,parsed_content_markdowns/Burwood-(NSW)/organic/type-organic_rg2_ra5_hipages.md,0.93,⚠️ LOW_CONTENT
type-organic_rg4_ra8_buy.md,parsed_content_markdowns/Burwood-(NSW)/organic/type-organic_rg4_ra8_buy.md,0.92,⚠️ LOW_CONTENT
type-organic_rg18_ra22_skilledtradies.md,parsed_content_markdowns/Burwood-(NSW)/organic/type-organic_rg18_ra22_skilledtradies.md,0.96,⚠️ LOW_CONTENT
type-organic_rg9_ra13_m.md,parsed_content_markdowns/Burwood-(NSW)/organic/type-organic_rg9_ra13_m.md,0.96,⚠️ LOW_CONTENT
type-local_pack_rg1_ra1_allroofingservices.md,parsed_content_markdowns/Burwood-(NSW)/local_pack/type-local_pack_rg1_ra1_allroofingservices.md,0.94,⚠️ LOW_CONTENT
type-local_pack_rg2_ra2_sydneyroofingspecialists.md,parsed_content_markdowns/Burwood-(NSW)/local_pack/type-local_pack_rg2_ra2_sydneyroofingspecialists.md,0.95,⚠️ LOW_CONTENT
type-people_also_search_rg4_ra28_metadata.md,parsed_content_markdowns/Ashfield-(NSW)/people_also_search/type-people_also_search_rg4_ra28_metadata.md,0.29,⚠️ LOW_CONTENT
type-people_also_search_rg1_ra4_metadata.md,parsed_content_markdowns/Ashfield-(NSW)/people_also_search/type-people_also_search_rg1_ra4_metadata.md,0.29,⚠️ LOW_CONTENT
type-people_also_search_rg2_ra16_metadata.md,parsed_content_markdowns/Ashfield-(NSW)/people_also_search/type-people_also_search_rg2_ra16_metadata.md,0.29,⚠️ LOW_CONTENT
type-people_also_search_rg3_ra18_metadata.md,parsed_content_markdowns/Ashfield-(NSW)/people_also_search/type-people_also_search_rg3_ra18_metadata.md,0.29,⚠️ LOW_CONTENT
type-people_also_ask_rg1_ra9_metadata.md,parsed_content_markdowns/Ashfield-(NSW)/people_also_ask/type-people_also_ask_rg1_ra9_metadata.md,0.27,⚠️ LOW_CONTENT
type-organic_rg11_ra17_hipages.md,parsed_content_markdowns/Ashfield-(NSW)/organic/type-organic_rg11_ra17_hipages.md,0.93,⚠️ LOW_CONTENT
type-organic_rg17_ra24_m.md,parsed_content_markdowns/Ashfield-(NSW)/organic/type-organic_rg17_ra24_m.md,0.92,⚠️ LOW_CONTENT
type-organic_rg20_ra27_greenfrogroofing.md,parsed_content_markdowns/Ashfield-(NSW)/organic/type-organic_rg20_ra27_greenfrogroofing.md,0.97,⚠️ LOW_CONTENT
type-organic_rg19_ra26_servicetasker.md,parsed_content_markdowns/Ashfield-(NSW)/organic/type-organic_rg19_ra26_servicetasker.md,0.98,⚠️ LOW_CONTENT
type-organic_rg16_ra23_sydneyroofingandgutters.md,parsed_content_markdowns/Ashfield-(NSW)/organic/type-organic_rg16_ra23_sydneyroofingandgutters.md,0.98,⚠️ LOW_CONTENT
type-organic_rg2_ra6_localsearch.md,parsed_content_markdowns/Ashfield-(NSW)/organic/type-organic_rg2_ra6_localsearch.md,0.99,⚠️ LOW_CONTENT
type-organic_rg3_ra7_agraderoofing.md,parsed_content_markdowns/Ashfield-(NSW)/organic/type-organic_rg3_ra7_agraderoofing.md,1.21,⚠️ LOW_CONTENT
type-local_pack_rg3_ra3_google.md,parsed_content_markdowns/Ashfield-(NSW)/local_pack/type-local_pack_rg3_ra3_google.md,0.43,⚠️ LOW_CONTENT
type-local_pack_rg1_ra1_google.md,parsed_content_markdowns/Ashfield-(NSW)/local_pack/type-local_pack_rg1_ra1_google.md,0.44,⚠️ LOW_CONTENT
type-local_pack_rg2_ra2_google.md,parsed_content_markdowns/Ashfield-(NSW)/local_pack/type-local_pack_rg2_ra2_google.md,0.45,⚠️ LOW_CONTENT
type-people_also_search_rg5_ra29_metadata.md,parsed_content_markdowns/Birchgrove/people_also_search/type-people_also_search_rg5_ra29_metadata.md,0.29,⚠️ LOW_CONTENT
type-people_also_search_rg2_ra10_metadata.md,parsed_content_markdowns/Birchgrove/people_also_search/type-people_also_search_rg2_ra10_metadata.md,0.29,⚠️ LOW_CONTENT
type-people_also_search_rg3_ra17_metadata.md,parsed_content_markdowns/Birchgrove/people_also_search/type-people_also_search_rg3_ra17_metadata.md,0.29,⚠️ LOW_CONTENT
type-people_also_search_rg1_ra5_metadata.md,parsed_content_markdowns/Birchgrove/people_also_search/type-people_also_search_rg1_ra5_metadata.md,0.3,⚠️ LOW_CONTENT
type-people_also_search_rg4_ra24_metadata.md,parsed_content_markdowns/Birchgrove/people_also_search/type-people_also_search_rg4_ra24_metadata.md,0.29,⚠️ LOW_CONTENT
type-people_also_ask_rg1_ra12_metadata.md,parsed_content_markdowns/Birchgrove/people_also_ask/type-people_also_ask_rg1_ra12_metadata.md,0.26,⚠️ LOW_CONTENT
type-organic_rg19_ra27_hipages.md,parsed_content_markdowns/Birchgrove/organic/type-organic_rg19_ra27_hipages.md,0.93,⚠️ LOW_CONTENT
type-organic_rg16_ra23_servicetasker.md,parsed_content_markdowns/Birchgrove/organic/type-organic_rg16_ra23_servicetasker.md,0.96,⚠️ LOW_CONTENT
type-organic_rg17_ra25_sydneyroofingandgutters.md,parsed_content_markdowns/Birchgrove/organic/type-organic_rg17_ra25_sydneyroofingandgutters.md,0.98,⚠️ LOW_CONTENT
type-organic_rg4_ra8_allroofingservices.md,parsed_content_markdowns/Birchgrove/organic/type-organic_rg4_ra8_allroofingservices.md,1.26,⚠️ LOW_CONTENT
type-organic_rg11_ra18_agraderoofing.md,parsed_content_markdowns/Birchgrove/organic/type-organic_rg11_ra18_agraderoofing.md,0.7,⚠️ LOW_CONTENT
type-organic_rg6_ra11_m.md,parsed_content_markdowns/Birchgrove/organic/type-organic_rg6_ra11_m.md,0.96,⚠️ LOW_CONTENT
type-local_pack_rg2_ra2_rooftecroofing.md,parsed_content_markdowns/Birchgrove/local_pack/type-local_pack_rg2_ra2_rooftecroofing.md,0.91,⚠️ LOW_CONTENT
type-local_pack_rg3_ra3_google.md,parsed_content_markdowns/Birchgrove/local_pack/type-local_pack_rg3_ra3_google.md,0.72,⚠️ LOW_CONTENT
